321	ADD	(8-8-5-5, 8-8-5-5, 13-13)
321	ADE	(8-8-5-5, 13-13, 5-5-4-4-3-3-1-1)
321	ADF	(13-13, 5-5-4-4-3-3-1-1, 13-13)
321	ADG	(5-5-4-4-3-3-1-1, 13-13, 11-11-2-2)
321	ADH	(13-13, 11-11-2-2, 12-12-1-1)
321	ADI	(11-11-2-2, 12-12-1-1, 11-11-2-2)
321	ADJ	(12-12-1-1, 11-11-2-2, 12-12-1-1)
321	ADK	(11-11-2-2, 12-12-1-1, 5-5-4-4-3-3-1-1)
321	ADL	(12-12-1-1, 5-5-4-4-3-3-1-1, 9-9-2-2-1-1-1-1)
321	ADM	(5-5-4-4-3-3-1-1, 9-9-2-2-1-1-1-1, 10-10-3-3)
321	ADN	(9-9-2-2-1-1-1-1, 10-10-3-3, 10-10-2-2-1-1)
321	ADO	(10-10-3-3, 10-10-2-2-1-1, 9-9-3-3-1-1)
321	ADP	(10-10-2-2-1-1, 9-9-3-3-1-1, 13-13)
321	ADQ	(9-9-3-3-1-1, 13-13, 11-11-1-1-1-1)
321	ADR	(13-13, 4-4-4-4-3-3-2-2, 11-11-1-1-1-1)
321	ADS	(4-4-4-4-3-3-2-2, 11-11-1-1-1-1, 13-13)
321	ADT	(11-11-1-1-1-1, 13-13, 9-9-3-3-1-1)
321	ADU	(13-13, 9-9-3-3-1-1, 11-11-2-2)
321	ADV	(9-9-3-3-1-1, 11-11-2-2, 12-12-1-1)
321	ADW	(11-11-2-2, 12-12-1-1, 12-12-1-1)
321	ADX	(12-12-1-1, 12-12-1-1, 8-8-3-3-2-2)
321	ADY	(12-12-1-1, 8-8-3-3-2-2, 8-8-5-5)
321	ADZ	(8-8-3-3-2-2, 8-8-5-5, 9-9-4-4)
321	AEA	(13-13, 7-7-4-4-1-1-1-1, 8-8-3-3-2-2)
321	AEB	(7-7-4-4-1-1-1-1, 8-8-3-3-2-2, 11-11-1-1-1-1)
321	AEC	(8-8-3-3-2-2, 11-11-1-1-1-1, 13-13)
321	AED	(11-11-1-1-1-1, 13-13, 7-7-6-6)
321	AEE	(13-13, 7-7-6-6, 13-13)
321	AEF	(7-7-6-6, 13-13, 13-13)
321	AEG	(13-13, 13-13, 9-9-4-4)
321	AEH	(13-13, 9-9-4-4, 13-13)
321	AEI	(9-9-4-4, 13-13, 6-6-5-5-2-2)
321	AEJ	(13-13, 6-6-5-5-2-2, 13-13)
321	AEK	(6-6-5-5-2-2, 13-13, 13-13)
321	AEL	(13-13, 13-13, 9-9-3-3-1-1)
321	AEM	(13-13, 9-9-3-3-1-1, 6-6-4-4-2-2-1-1)
321	AEN	(9-9-3-3-1-1, 6-6-4-4-2-2-1-1, 8-8-5-5)
321	AEO	(6-6-4-4-2-2-1-1, 8-8-5-5, 7-7-6-6)
321	AEP	(8-8-5-5, 7-7-6-6, 10-10-3-3)
321	AEQ	(13-13, 13-13, 11-11-1-1-1-1)
321	AER	(13-13, 11-11-1-1-1-1, 7-7-4-4-2-2)
321	AES	(11-11-1-1-1-1, 7-7-4-4-2-2, 5-5-4-4-4-4)
321	AET	(7-7-4-4-2-2, 5-5-4-4-4-4, 9-9-3-3-1-1)
321	AEU	(5-5-4-4-4-4, 9-9-3-3-1-1, 12-12-1-1)
321	AEV	(9-9-3-3-1-1, 12-12-1-1, 13-13)
321	AEW	(12-12-1-1, 13-13, 11-11-2-2)
321	AEX	(13-13, 11-11-2-2, 12-12-1-1)
321	AEY	(11-11-2-2, 12-12-1-1, 13-13)
321	AEZ	(12-12-1-1, 13-13, 7-7-4-4-1-1-1-1)
321	AFA	(10-10-3-3, 6-6-4-4-3-3, 13-13)
